coast,system_total,date,LMP,location,wind_forecast_mw,solar_forecast_mw,temp,humidity,dew,precip,snow,windspeed,pressure,visibility,cloudcover,solarradiation,solarenergy,year,month,day,dayofweek,hour,is_weekend,lmp
17433.4004,66959.2399,2025-10-10 18:00:00-05:00,85.54,HB_HOUSTON,6549.39,164.16,88.1,28.11,51.0,0.0,0.0,5.8,1016.0,10.1,1.0,215.0,0.8,2025,10,10,4,18,0,
16865.4004,64199.0801,2025-10-10 19:00:00-05:00,81.44,HB_HOUSTON,9396.9,2.62,81.9,34.2,51.0,0.0,0.0,5.8,1016.0,10.1,2.0,84.0,0.3,2025,10,10,4,19,0,
16329.2002,62408.3305,2025-10-10 20:00:00-05:00,52.72,HB_HOUSTON,12702.64,0.0,81.1,35.22,51.0,0.0,0.0,5.8,1017.0,10.1,1.0,0.0,0.0,2025,10,10,4,20,0,
15735.0996,60328.1602,2025-10-10 21:00:00-05:00,39.82,HB_HOUSTON,15545.54,0.0,79.1,37.57,51.0,0.0,0.0,5.8,1018.0,10.1,2.0,0.0,0.0,2025,10,10,4,21,0,
14880.5,57414.6802,2025-10-10 22:00:00-05:00,30.34,HB_HOUSTON,17994.71,0.0,76.9,45.15,54.1,0.0,0.0,5.8,1018.0,10.1,2.0,0.0,0.0,2025,10,10,4,22,0,
13979.2998,54211.7697,2025-10-10 23:00:00-05:00,26.55,HB_HOUSTON,19622.97,0.0,74.9,48.23,54.1,0.0,0.0,5.8,1018.0,10.1,1.0,0.0,0.0,2025,10,10,4,23,0,
13206.2002,51314.151,2025-10-11 00:00:00-05:00,28.77,HB_HOUSTON,20422.41,0.0,74.0,49.7,54.1,0.0,0.0,5.8,1017.0,10.1,1.0,0.0,0.0,2025,10,11,5,0,1,
12558.4004,48836.0812,2025-10-11 01:00:00-05:00,26.22,HB_HOUSTON,20520.09,0.0,72.1,53.13,54.1,0.0,0.0,5.8,1017.0,10.1,3.0,0.0,0.0,2025,10,11,5,1,1,
12062.2998,47010.3591,2025-10-11 02:00:00-05:00,24.84,HB_HOUSTON,20009.44,0.0,70.1,56.82,54.1,0.0,0.0,5.8,1018.0,10.1,2.0,0.0,0.0,2025,10,11,5,2,1,
11795.0,45864.4496,2025-10-11 03:00:00-05:00,23.79,HB_HOUSTON,19330.62,0.0,69.0,58.96,54.1,0.0,0.0,5.8,1018.0,10.1,3.0,0.0,0.0,2025,10,11,5,3,1,
11599.0996,45197.4597,2025-10-11 04:00:00-05:00,23.01,HB_HOUSTON,18660.9,0.0,67.9,61.18,54.1,0.0,0.0,5.8,1017.0,10.1,4.0,0.0,0.0,2025,10,11,5,4,1,
11560.0,44904.7798,2025-10-11 05:00:00-05:00,23.6,HB_HOUSTON,18104.63,0.0,67.0,63.11,54.1,0.0,0.0,5.8,1016.0,10.1,4.0,0.0,0.0,2025,10,11,5,5,1,
11675.0,45304.6197,2025-10-11 06:00:00-05:00,24.67,HB_HOUSTON,17623.24,0.0,65.9,65.52,54.1,0.0,0.0,5.8,1016.0,10.1,3.0,0.0,0.0,2025,10,11,5,6,1,
