coast,system_total,date,LMP,location,actual_wind_mw,actual_solar_mw,temp,humidity,dew,precip,snow,windspeed,pressure,visibility,cloudcover,solarradiation,solarenergy
14377.7998,56317.2494,2025-09-22 00:00:00-05:00,22.9375,HB_HOUSTON,14103.6,7.0,78.6,87.82,74.7,0.0,0.0,3.7,1012.4,9.9,23.5,0.0,0.0
13846.4004,54587.9705,2025-09-22 01:00:00-05:00,22.6,HB_HOUSTON,13806.425000000001,7.0,77.3,90.85,74.4,0.0,0.0,2.2,1012.2,9.9,15.8,0.0,0.0
13523.0996,53412.4095,2025-09-22 02:00:00-05:00,21.6725,HB_HOUSTON,13216.141666666668,1.75,76.3,92.75,74.1,0.0,0.0,2.9,1012.1,9.9,15.8,0.0,0.0
13492.2002,52705.4502,2025-09-22 03:00:00-05:00,21.85,HB_HOUSTON,11935.050000000001,0.0,75.9,93.95,74.1,0.0,0.0,2.9,1012.0,9.3,15.8,0.0,0.0
13548.9004,52827.1504,2025-09-22 04:00:00-05:00,21.5075,HB_HOUSTON,10473.5,0.0,75.6,95.37,74.2,0.0,0.0,1.4,1011.6,9.3,15.8,0.0,0.0
14072.4004,54251.6705,2025-09-22 05:00:00-05:00,23.945,HB_HOUSTON,9410.0,0.0,75.6,95.26,74.1,0.0,0.0,1.8,1011.4,9.9,21.9,0.0,0.0
14503.5996,56708.1704,2025-09-22 06:00:00-05:00,26.89,HB_HOUSTON,8443.083333333334,0.0,74.9,95.6,73.5,0.0,0.0,1.8,1011.7,9.3,27.0,0.0,0.0
14420.5996,56357.9897,2025-09-22 07:00:00-05:00,25.855,HB_HOUSTON,6692.525000000001,9.658333333333333,75.4,95.18,74.0,0.0,0.0,3.4,1012.2,9.7,51.4,0.0,0.0
15135.5996,58762.7709,2025-09-22 08:00:00-05:00,20.1725,HB_HOUSTON,5149.666666666667,223.3166666666667,78.2,90.97,75.4,0.0,0.0,4.1,1012.3,9.9,30.6,9.0,0.0
16636.3008,62540.1417,2025-09-22 09:00:00-05:00,20.43,HB_HOUSTON,2864.2333333333336,512.8166666666667,83.1,80.43,76.4,0.0,0.0,7.6,1012.5,9.9,7.7,33.0,0.1
18439.1992,70576.4699,2025-09-22 10:00:00-05:00,21.71,HB_HOUSTON,1801.5249999999999,664.2166666666667,85.9,72.56,76.0,0.0,0.0,10.6,1012.8,9.9,59.1,60.0,0.2
19217.8008,72193.23,2025-09-22 11:00:00-05:00,24.67,HB_HOUSTON,1869.4083333333335,744.6750000000001,88.5,64.21,74.8,0.004,0.0,9.5,1013.1,9.9,71.3,149.0,0.5
19079.8008,71945.7506,2025-09-22 12:00:00-05:00,27.7125,HB_HOUSTON,2676.1916666666666,745.0749999999999,88.8,62.03,74.1,0.008,0.0,10.8,1012.7,9.9,76.5,377.0,1.4
19381.5996,74650.5888,2025-09-22 13:00:00-05:00,31.2575,HB_HOUSTON,4213.974999999999,738.4083333333333,89.5,59.74,73.6,0.004,0.0,9.7,1012.4,9.9,74.9,88.0,0.3
19843.3008,77637.2422,2025-09-22 14:00:00-05:00,38.7275,HB_HOUSTON,5126.666666666667,733.8583333333332,88.0,61.55,73.1,0.0,0.0,10.5,1011.7,9.3,81.2,304.0,1.1
19826.4004,79155.4209,2025-09-22 15:00:00-05:00,48.575,HB_HOUSTON,6105.483333333334,696.5,89.4,61.63,74.5,0.004,0.0,12.4,1010.9,9.9,42.4,711.0,2.6
20421.0996,79550.2483,2025-09-22 16:00:00-05:00,34.865,HB_HOUSTON,6981.383333333334,690.7833333333333,90.5,59.37,74.4,0.0,0.0,13.6,1010.2,9.9,60.2,191.0,0.7
20084.3008,78905.3508,2025-09-22 17:00:00-05:00,28.41,HB_HOUSTON,7600.9800000000005,616.22,90.0,57.89,73.2,0.0,0.0,11.3,1010.3,9.9,60.2,16.0,0.1
